season,home_wins,walkoff_wins,walkoff_rate
2000,1312,222,0.1692
2001,1273,188,0.1477
2002,1314,219,0.1667
2003,1335,205,0.1536
2004,1301,222,0.1706
2005,1306,207,0.1585
2006,1327,216,0.1628
2007,1319,217,0.1645
2008,1351,228,0.1688
2009,1334,215,0.1612
2010,1358,224,0.1649
2011,1276,243,0.1904
2012,1295,208,0.1606
2013,1308,242,0.185
2014,1289,227,0.1761
2015,1320,209,0.1583
2016,1288,195,0.1514
2017,1311,205,0.1564
2018,1285,216,0.1681
2019,1288,208,0.1615
2020,494,80,0.1619
2021,1312,228,0.1738
2022,1295,214,0.1653
2023,1269,194,0.1529
2024,1268,210,0.1656
